# Chaines d'autorisation, 45 routes, depot takibo-iam au commit 032788fb6d
# produit par poc.spring-authorization-chain 0.0.1 ; une ligne par route :
# route | regle gagnante (fichier:ligne) | verdict

GET /debug/secure/user-read                                                    | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
PATCH /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}                 | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/admin/users                                                          |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
POST /api/spaces/{spaceId}/users                                               | SecurityConfig.java:80 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/auth/login                                                        | SecurityConfig.java:74 | PUBLIC (route-pattern:/api/v1/auth/login)
POST /api/v1/orgs/signup                                                       | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users                           | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/activate         | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/deactivate       | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/groups           | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/lock             | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/roles            | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/suspend          | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgId}/spaces                                               | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgId}/spaces/{spaceId}/clients                             | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/v1/orgs/{orgId}/spaces/{spaceId}/clients/{id}/rotate-secret          | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
